C1r;C2r;C3r
0.508142882;0.444625022;0.381107162
0.505839362;0.442609442;0.379379522
0.503669567;0.440710871;0.377752175
0.555170478;0.485774168;0.416377858
0.594057357;0.519800188;0.445543018
0.617293998;0.540132248;0.462970498
0.646735368;0.565893447;0.485051526
0.668888511;0.585277447;0.501666383
0.694408437;0.607607383;0.520806328
0.726731418;0.635889991;0.545048563
0.726432074;0.635628064;1000
0.516214975;0.451688103;1000
0.549548913;0.480855299;1000
0.588247839;0.514716859;1000
0.607116844;0.531227238;1000
0.617395042;0.540220661;0.463046281
0.651840297;0.57036026;1000
0.670535805;0.586718829;0.502901854
0.69449514;0.607683247;1000
0.726833662;0.635979455;0.545125247
0.728477228;0.637417574;1000
0.539173503;0.471776815;1000
0.579064671;0.506681587;1000
0.601145234;0.52600208;1000
0.617703976;0.540490979;0.463277982
0.648688997;0.567602872;1000
0.673184223;0.589036195;0.504888167
0.694645359;0.607814689;1000
0.726906819;0.636043466;0.545180114
0.726906456;0.636043149;1000
0.555796848;0.486322242;1000
0.595464384;0.521031336;1000
0.63279721;0.553697559;0.474597907
0.650116355;0.568851811;1000
0.692147038;0.605628658;0.519110278
0.705344519;0.617176454;1000
0.736398346;0.644348553;0.552298759
0.730672472;0.639338413;1000
0.601202193;0.526051919;1000
0.64790299;0.566915116;1000
0.655596101;0.573646588;1000
0.706985109;0.618611971;1000
0.714130361;0.624864066;1000
0.743742443;0.650774638;1000
0.735071777;0.643187805;1000
0.643542319;0.563099529;1000
0.649054026;0.567922273;1000
0.701234145;0.613579877;1000
0.706987435;0.618614005;1000
0.736790681;0.644691846;1000
0.729404252;0.63822872;1000
0.661986109;0.579237845;0.496489582
0.676890059;0.592278802;0.507667544
0.694412307;0.607610769;0.52080923
0.72674543;0.635902252;0.545059073
0.729786772;0.638563426;1000
0.70852969;0.619963479;0.531397267
0.706686801;0.618350951;1000
0.735025352;0.643147183;0.551269014
0.727316531;0.636401964;1000
0.708590957;0.620017088;1000
0.736027285;0.644023874;0.552020463
0.750139581;0.656372134;1000
0.726747482;0.635904046;0.545060611
0.736049175;0.644043028;1000
0.746317434;0.653027755;1000
0.549549116;0.480855476;1000
0.589440283;1000;1000
0.611520847;0.535080741;1000
0.61780502;0.540579393;1000
0.653793925;0.572069685;1000
0.674831516;0.590477577;1000
0.694732062;0.607890554;1000
0.727009063;0.63613293;1000
0.72895161;1000;1000
0.588874209;1000;1000
0.608523871;0.532458387;1000
0.632898254;0.553785972;1000
0.655221284;0.573318623;1000
0.693794331;0.60707004;1000
0.705431221;0.617252319;1000
0.73650059;0.644438017;1000
0.732717626;1000;1000
0.614261679;1000;1000
0.648004034;0.56700353;1000
0.660701029;1000;1000
0.708632403;0.620053353;1000
0.714217064;1000;1000
0.743844688;0.650864102;1000
0.737116931;1000;1000
0.643643363;0.563187943;1000
0.654158954;1000;1000
0.702881439;0.615021259;1000
0.707074137;1000;1000
0.736892926;0.64478131;1000
0.731449406;1000;1000
0.662087153;0.579326259;1000
0.676991103;0.592367215;0.507743327
0.694499009;0.607686633;1000
0.726846474;0.635990665;0.545134856
0.729887816;0.638651839;1000
0.710176984;0.621404861;1000
0.706773504;0.618426816;1000
0.735127597;0.643236647;1000
0.729361685;1000;1000
0.70867766;0.620092952;1000
0.736129529;0.644113338;1000
0.751786875;0.657813516;1000
0.726834184;0.635979911;1000
0.736135877;1000;1000
0.746419678;0.653117218;1000
0.579691041;1000;1000
0.602552262;0.527233229;1000
0.633207188;0.55405629;1000
0.652069984;0.570561236;1000
0.696442749;0.609387405;1000
0.705581441;0.617383761;1000
0.736573747;0.644502028;1000
0.731146854;1000;1000
0.60829007;1000;1000
0.648312968;0.567273847;1000
0.657549729;1000;1000
0.711280821;0.622370718;1000
0.714367284;1000;1000
0.743917844;0.650928114;1000
0.735546159;1000;1000
0.643952298;0.56345826;1000
0.651007654;1000;1000
0.705529856;0.617338624;1000
0.707224357;1000;1000
0.736966082;0.644845322;1000
0.729878634;1000;1000
0.662396087;0.579596576;1000
0.677300037;0.592637533;0.507975028
0.694649229;0.607818076;1000
0.726920831;0.636055727;0.545190623
0.730196751;0.638922157;1000
0.710483318;0.621672904;1000
0.706923724;0.618558258;1000
0.735200753;0.643300659;1000
0.727790913;1000;1000
0.70882788;0.620224395;1000
0.736202686;0.64417735;1000
0.750613964;0.656787218;1000
0.726922883;0.636057522;1000
0.736286097;1000;1000
0.746492835;0.65318123;1000
0.601828563;1000;1000
0.64852936;0.56746319;1000
0.656222471;1000;1000
0.70761148;0.619160045;1000
0.714756732;1000;1000
0.744368814;0.651322712;1000
0.735698147;1000;1000
0.644949347;0.564330678;1000
0.650461053;1000;1000
0.702641172;0.614811025;1000
0.708394462;1000;1000
0.738197708;0.645922995;1000
0.730811279;1000;1000
0.665367096;0.582196209;1000
0.692393271;0.605844112;0.519294953
0.705348389;0.61717984;1000
0.736412358;0.644360813;0.552309269
0.734027171;0.642273774;1000
0.711910677;0.622921842;1000
0.710067788;0.621309315;1000
0.738406339;0.646105547;1000
0.730697517;1000;1000
0.719527039;0.629586159;1000
0.745694213;0.652482436;1000
0.75437998;0.660082482;1000
0.73641441;0.644362608;1000
0.740289573;1000;1000
0.750557832;0.656738103;1000
0.650687155;0.569351261;1000
0.656198862;1000;1000
0.70837898;1000;1000
0.714132271;1000;1000
0.743935517;1000;1000
0.736549087;1000;1000
0.670846841;0.586990986;1000
0.707499051;0.61906167;1000
0.714134231;0.624867452;1000
0.743756456;0.650786899;1000
0.738426476;1000;1000
0.717390422;0.627716619;1000
0.715547534;1000;1000
0.743886085;0.650900324;1000
0.735956234;1000;1000
0.728312882;0.637273771;1000
0.75303831;0.658908521;1000
0.758779285;1000;1000
0.743758507;0.650788694;1000
0.744688878;1000;1000
0.754957137;1000;1000
0.664304767;0.581266671;1000
0.703138381;0.615246083;1000
0.706991305;0.618617392;1000
0.736804694;0.644704107;1000
0.73275895;1000;1000
0.710848347;0.621992304;1000
0.709005459;1000;1000
0.73734401;0.645176009;1000
0.729635188;1000;1000
0.721169955;0.631023711;1000
0.746086548;0.652825729;1000
0.75311176;1000;1000
0.736806745;0.644705902;1000
0.739021353;1000;1000
0.749289612;1000;1000
0.716531238;0.626964833;1000
0.706690671;0.618354337;1000
0.735039365;0.643159444;0.551279524
0.730671229;0.639337326;1000
0.708594827;0.620020474;1000
0.736041297;0.644036135;0.552030973
0.75349428;0.659307495;1000
0.726751351;0.635907433;0.545063514
0.736053045;0.644046414;1000
0.746331446;0.653040015;1000
0.720869322;0.630760656;1000
0.744321219;0.651281067;1000
0.751024038;0.657146034;1000
0.735041416;0.643161239;1000
0.736933632;1000;1000
0.747201891;0.653801654;1000
0.736043348;0.64403793;1000
0.750231695;1000;1000
0.7556133;0.661161638;1000
0.746333498;0.65304181;1000
0.590066654;1000;1000
0.612927874;1000;1000
0.640970347;0.560849053;1000
0.662445596;1000;1000
0.701866424;0.614133121;1000
0.713503314;1000;1000
0.744572683;0.651501098;1000
0.740789719;1000;1000
0.618665683;1000;1000
0.656076127;1000;1000
0.667925342;1000;1000
0.716704496;1000;1000
0.722289157;1000;1000
0.751916781;1000;1000
0.65073124;1000;1000
0.661246831;1000;1000
0.709969316;1000;1000
0.714162014;1000;1000
0.743980803;1000;1000
0.738537283;1000;1000
0.664040782;0.581035684;1000
0.678947331;0.594078915;1000
0.694750273;0.607906489;1000
0.727021875;0.636144141;1000
0.730362198;1000;1000
0.712130612;0.623114286;1000
0.708727132;1000;1000
0.737081225;0.644946072;1000
0.731315313;1000;1000
0.710475173;1000;1000
0.737849979;0.645618732;1000
0.752261257;1000;1000
0.727009585;0.636133387;1000
0.73661026;1000;1000
0.74689406;1000;1000
0.614888049;1000;1000
0.648630404;1000;1000
0.661327399;1000;1000
0.709258773;1000;1000
0.714843434;1000;1000
0.744471058;1000;1000
0.645050391;1000;1000
0.655565982;1000;1000
0.704288466;1000;1000
0.708481164;1000;1000
0.738299953;1000;1000
0.732856433;1000;1000
0.66546814;0.582284622;1000
0.694040565;0.607285494;1000
0.705449433;0.617268254;1000
0.736513402;0.644449227;1000
0.734128215;1000;1000
0.713557971;0.624363224;1000
0.710154491;1000;1000
0.738508584;0.646195011;1000
0.732742671;1000;1000
0.721174333;1000;1000
0.747341506;0.653923818;1000
0.756027274;1000;1000
0.736501112;0.644438473;1000
0.740376276;1000;1000
0.750660077;1000;1000
0.650788199;1000;1000
0.710026274;1000;1000
0.744037761;1000;1000
0.670947885;1000;1000
0.709146345;0.620503052;1000
0.714235275;1000;1000
0.7438575;0.650875312;1000
0.73852752;1000;1000
0.719037716;1000;1000
0.715634236;1000;1000
0.743988329;1000;1000
0.729960176;1000;1000
0.754685604;0.660349903;1000
0.760426579;1000;1000
0.74384521;1000;1000
0.755059382;1000;1000
0.664405811;1000;1000
0.704785674;0.616687465;1000
0.707092349;1000;1000
0.736905738;0.64479252;1000
0.732859994;1000;1000
0.712495641;1000;1000
0.709092161;1000;1000
0.737446254;1000;1000
0.722817249;1000;1000
0.747733842;0.654267111;1000
0.754759053;1000;1000
0.736893447;1000;1000
0.749391856;1000;1000
0.716632282;0.627053246;1000
0.706791715;0.618442751;1000
0.735140409;0.643247858;1000
0.730772273;1000;1000
0.708695871;0.620108887;1000
0.736142341;0.644124548;1000
0.753595324;0.659395909;1000
0.726848196;0.635992172;1000
0.736154089;1000;1000
0.74643249;0.653128429;1000
0.722516615;1000;1000
0.745968513;0.652722449;1000
0.752671332;1000;1000
0.735128118;1000;1000
0.737020334;1000;1000
0.747304135;1000;1000
0.736130051;0.644113794;1000
0.751878989;1000;1000
0.757260594;1000;1000
0.7464202;1000;1000
0.60891644;1000;1000
0.648939338;1000;1000
0.658176099;1000;1000
0.711907191;1000;1000
0.714993654;1000;1000
0.744544215;1000;1000
0.645359325;1000;1000
0.652414682;1000;1000
0.706936883;1000;1000
0.708631384;1000;1000
0.738373109;1000;1000
0.731285661;1000;1000
0.665777074;0.58255494;1000
0.696688982;0.60960286;1000
0.705758367;0.617538571;1000
0.736822337;0.644719545;1000
0.734437149;1000;1000
0.716206388;0.62668059;1000
0.71030471;1000;1000
0.73858174;0.646259023;1000
0.7311719;1000;1000
0.723822751;1000;1000
0.749989924;0.656241183;1000
0.758675691;1000;1000
0.736651332;0.644569915;1000
0.740526496;1000;1000
0.750733233;1000;1000
0.651097133;1000;1000
0.712674692;1000;1000
0.744110918;1000;1000
0.67125682;1000;1000
0.711794762;0.622820417;1000
0.71454421;1000;1000
0.744166434;0.65114563;1000
0.738836454;1000;1000
0.721686134;1000;1000
0.715784456;1000;1000
0.744061486;1000;1000
0.732608593;1000;1000
0.757334022;0.662667269;1000
0.763074996;1000;1000
0.743995429;1000;1000
0.755132538;1000;1000
0.664714745;1000;1000
0.707434092;0.61900483;1000
0.707401283;1000;1000
0.737214672;0.645062838;1000
0.733168929;1000;1000
0.715144059;1000;1000
0.709242381;1000;1000
0.737519411;1000;1000
0.725465666;1000;1000
0.750382259;0.656584477;1000
0.757407471;1000;1000
0.737043667;1000;1000
0.749465013;1000;1000
0.716941216;0.627323564;1000
0.707100649;0.618713068;1000
0.735449343;0.643518175;1000
0.731081208;1000;1000
0.709004806;0.620379205;1000
0.736451275;0.644394866;1000
0.753904258;0.659666226;1000
0.726926752;0.636060908;1000
0.736463023;1000;1000
0.746741424;0.653398746;1000
0.72282295;1000;1000
0.746274848;0.652990492;1000
0.752977667;1000;1000
0.735278338;1000;1000
0.737170554;1000;1000
0.747377292;1000;1000
0.736280271;0.644245237;1000
0.750706077;1000;1000
0.756087683;1000;1000
0.74657042;1000;1000
0.651313525;1000;1000
0.709005351;1000;1000
0.744561887;1000;1000
0.671473212;1000;1000
0.708125421;0.619609744;1000
0.714760601;1000;1000
0.744382826;0.651334973;1000
0.739052846;1000;1000
0.718016792;1000;1000
0.716173904;1000;1000
0.744512455;1000;1000
0.728939252;1000;1000
0.75366468;0.659456595;1000
0.759405655;1000;1000
0.744384877;1000;1000
0.755583507;1000;1000
0.665711794;1000;1000
0.704545408;0.616477232;1000
0.708398332;1000;1000
0.738211721;0.645935256;1000
0.734165978;1000;1000
0.712255375;1000;1000
0.710412486;1000;1000
0.738751037;1000;1000
0.722576982;1000;1000
0.747493575;0.654056878;1000
0.754518787;1000;1000
0.738213772;1000;1000
0.750696639;1000;1000
0.719912224;0.629923196;1000
0.710071658;0.621312701;1000
0.738420352;0.646117808;1000
0.734052216;1000;1000
0.724098039;0.633585784;1000
0.751544509;0.657601445;1000
0.762381528;0.667083837;1000
0.736418279;0.644365995;1000
0.740293443;1000;1000
0.750571845;0.656750364;1000
0.724250308;1000;1000
0.747702206;0.65423943;1000
0.754405025;1000;1000
0.738422403;1000;1000
0.740314619;1000;1000
0.750582878;1000;1000
0.74697943;0.653607001;1000
0.754472094;1000;1000
0.759853699;1000;1000
0.750573896;1000;1000
0.671449602;1000;1000
0.710283216;1000;1000
0.71413614;1000;1000
0.743949529;1000;1000
0.717993183;1000;1000
0.744488846;1000;1000
0.728314791;1000;1000
0.753231384;1000;1000
0.743951581;1000;1000
0.72539197;0.634717974;1000
0.715551404;1000;1000
0.743900097;0.650912585;1000
0.739531962;1000;1000
0.736314429;1000;1000
0.761039858;0.665909876;1000
0.766780833;1000;1000
0.743762377;0.65079208;1000
0.744692748;1000;1000
0.75497115;1000;1000
0.729730054;1000;1000
0.753181951;1000;1000
0.759884771;1000;1000
0.743902149;1000;1000
0.756062623;1000;1000
0.755765273;1000;1000
0.764253004;1000;1000
0.754973201;1000;1000
0.718849895;0.628993658;1000
0.709009329;1000;1000
0.737358022;0.64518827;1000
0.732989887;1000;1000
0.729171503;1000;1000
0.754088096;0.659827084;1000
0.761113307;1000;1000
0.736810615;0.644709288;1000
0.739025223;1000;1000
0.749303624;1000;1000
0.723187979;1000;1000
0.746639877;1000;1000
0.753342696;1000;1000
0.737360074;1000;1000
0.749520548;1000;1000
0.748622346;1000;1000
0.753203873;1000;1000
0.758585479;1000;1000
0.749305676;1000;1000
0.728870869;0.637762011;1000
0.752322767;0.658282421;1000
0.759025586;1000;1000
0.735045286;0.643164625;1000
0.736937502;1000;1000
0.747215903;0.653813915;1000
0.736047218;0.644041316;1000
0.753586394;1000;1000
0.758967999;0.664096999;1000
0.746337367;0.653045196;1000
0.748321712;0.654781498;1000
0.751116152;1000;1000
0.756497758;1000;1000
0.747217955;1000;1000
0.760516018;1000;1000
0.656702497;1000;1000
0.717330866;1000;1000
0.752543151;1000;1000
0.653122483;1000;1000
0.712360559;1000;1000
0.746372046;1000;1000
0.673540233;1000;1000
0.702112658;0.614348576;1000
0.713521526;1000;1000
0.744585495;0.651512308;1000
0.742200308;1000;1000
0.721630063;1000;1000
0.718226583;1000;1000
0.746580677;1000;1000
0.729246426;1000;1000
0.755413599;1000;1000
0.764099367;1000;1000
0.744573205;1000;1000
0.75873217;1000;1000
0.679019978;1000;1000
0.717218438;1000;1000
0.722307368;1000;1000
0.751929593;1000;1000
0.727109809;1000;1000
0.752060422;1000;1000
0.762757697;1000;1000
0.751917302;1000;1000
0.671493688;1000;1000
0.711873552;1000;1000
0.714180226;1000;1000
0.743993615;1000;1000
0.719583518;1000;1000
0.744534131;1000;1000
0.729905126;1000;1000
0.754821719;1000;1000
0.743981324;1000;1000
0.71858591;1000;1000
0.708745344;1000;1000
0.737094037;0.644957283;1000
0.732725902;1000;1000
0.710652099;1000;1000
0.738098569;0.645836248;1000
0.755551552;1000;1000
0.727027796;1000;1000
0.736628471;1000;1000
0.746906872;1000;1000
0.724470244;1000;1000
0.747922142;1000;1000
0.754624961;1000;1000
0.737081747;1000;1000
0.749257764;1000;1000
0.737927564;1000;1000
0.757734977;1000;1000
0.746894582;1000;1000
0.671574256;1000;1000
0.709772715;1000;1000
0.714861645;1000;1000
0.74448387;1000;1000
0.719664086;1000;1000
0.744614699;1000;1000
0.755311974;1000;1000
0.74447158;1000;1000
0.665812838;1000;1000
0.706192702;1000;1000
0.708499376;1000;1000
0.738312765;1000;1000
0.713902668;1000;1000
0.738853282;1000;1000
0.724224276;1000;1000
0.749140869;1000;1000
0.738300474;1000;1000
0.720013268;1000;1000
0.710172702;1000;1000
0.738521396;0.646206221;1000
0.73415326;1000;1000
0.725745333;1000;1000
0.753191803;0.659042828;1000
0.762482572;1000;1000
0.736519323;1000;1000
0.740394487;1000;1000
0.750672889;1000;1000
0.725897602;1000;1000
0.7493495;1000;1000
0.756052319;1000;1000
0.738509105;1000;1000
0.750685122;1000;1000
0.748626724;1000;1000
0.761500993;1000;1000
0.750660598;1000;1000
0.71193051;1000;1000
0.744050573;1000;1000
0.754878677;1000;1000
0.725493014;1000;1000
0.715652448;1000;1000
0.744001141;1000;1000
0.736415473;1000;1000
0.761140902;1000;1000
0.766881877;1000;1000
0.743863421;1000;1000
0.755072194;1000;1000
0.754829245;1000;1000
0.743988851;1000;1000
0.757412566;1000;1000
0.718950939;1000;1000
0.709110373;1000;1000
0.737459066;1000;1000
0.729272547;1000;1000
0.75418914;1000;1000
0.761214351;1000;1000
0.736911659;1000;1000
0.749404668;1000;1000
0.748287171;1000;1000
0.737446776;1000;1000
0.75026964;1000;1000
0.760232772;1000;1000
0.728971913;1000;1000
0.752423811;0.658370834;1000
0.75912663;1000;1000
0.73514633;1000;1000
0.737038546;1000;1000
0.747316947;1000;1000
0.736148262;0.644129729;1000
0.753687438;1000;1000
0.759069043;1000;1000
0.746438411;1000;1000
0.749969006;1000;1000
0.758145051;1000;1000
0.762163312;1000;1000
0.67188319;1000;1000
0.712421133;1000;1000
0.71517058;1000;1000
0.744792804;1000;1000
0.722312504;1000;1000
0.744687856;1000;1000
0.757960392;1000;1000
0.7446218;1000;1000
0.666121772;1000;1000
0.708841119;1000;1000
0.70880831;1000;1000
0.738621699;1000;1000
0.716551086;1000;1000
0.738926438;1000;1000
0.726872694;1000;1000
0.751789286;1000;1000
0.738450694;1000;1000
0.720322203;1000;1000
0.710481636;1000;1000
0.73883033;0.646476539;1000
0.734462194;1000;1000
0.727938565;1000;1000
0.754105739;0.659842521;1000
0.762791506;1000;1000
0.736828258;1000;1000
0.740703422;1000;1000
0.750981823;1000;1000
0.72854602;1000;1000
0.751997917;1000;1000
0.758700737;1000;1000
0.738659325;1000;1000
0.750758279;1000;1000
0.751275141;1000;1000
0.76414941;1000;1000
0.750810818;1000;1000
0.714578928;1000;1000
0.744359508;1000;1000
0.757527095;1000;1000
0.725801948;1000;1000
0.715961382;1000;1000
0.744310075;1000;1000
0.736724408;1000;1000
0.761449836;1000;1000
0.767190811;1000;1000
0.744172355;1000;1000
0.755381128;1000;1000
0.757477663;1000;1000
0.744139071;1000;1000
0.760060984;1000;1000
0.719259874;1000;1000
0.709419307;1000;1000
0.737768001;1000;1000
0.729581481;1000;1000
0.754498074;1000;1000
0.761523286;1000;1000
0.737220593;1000;1000
0.749713603;1000;1000
0.750935588;1000;1000
0.737596996;1000;1000
0.752918057;1000;1000
0.76288119;1000;1000
0.729280848;1000;1000
0.752732745;0.658641152;1000
0.759435565;1000;1000
0.735455264;1000;1000
0.73734748;1000;1000
0.747625882;1000;1000
0.736457196;0.644400047;1000
0.753996372;1000;1000
0.759377977;1000;1000
0.746747346;1000;1000
0.750275341;1000;1000
0.758451386;1000;1000
0.7609904;1000;1000
0.710909587;1000;1000
0.744575899;1000;1000
0.753857754;1000;1000
0.72601834;1000;1000
0.716177774;1000;1000
0.744526467;1000;1000
0.7369408;1000;1000
0.761666228;1000;1000
0.767407203;1000;1000
0.744388747;1000;1000
0.75559752;1000;1000
0.753808322;1000;1000
0.744528519;1000;1000
0.756391643;1000;1000
0.720256922;1000;1000
0.710416356;1000;1000
0.73876505;1000;1000
0.73057853;1000;1000
0.755495123;1000;1000
0.762520334;1000;1000
0.738217642;1000;1000
0.750710651;1000;1000
0.748046904;1000;1000
0.738767101;1000;1000
0.750029373;1000;1000
0.759992506;1000;1000
0.732251856;1000;1000
0.755703754;0.661240784;1000
0.762406573;1000;1000
0.738426273;1000;1000
0.740318489;1000;1000
0.75059689;1000;1000
0.75155043;0.657606627;1000
0.762473641;1000;1000
0.767855247;1000;1000
0.750577766;1000;1000
0.751702699;1000;1000
0.759878744;1000;1000
0.764756416;1000;1000
0.725994731;1000;1000
0.744502858;1000;1000
0.761232931;1000;1000
0.74395545;1000;1000
0.737731602;1000;1000
0.761183499;1000;1000
0.743906018;1000;1000
0.756076636;1000;1000
0.76376682;1000;1000
0.772254552;1000;1000
0.754977071;1000;1000
0.757182445;1000;1000
0.731189527;1000;1000
0.754641424;1000;1000
0.761344244;1000;1000
0.737363944;1000;1000
0.749534561;1000;1000
0.756623894;1000;1000
0.766587026;1000;1000
0.749309545;1000;1000
0.75064037;1000;1000
0.75632326;0.661782853;1000
0.7591177;1000;1000
0.764499305;1000;1000
0.747221824;1000;1000
0.763870716;1000;1000
0.761400475;1000;1000
0.717844808;1000;1000
0.752555963;1000;1000
0.714264795;1000;1000
0.746384858;1000;1000
0.757212962;1000;1000
0.728085361;1000;1000
0.718244795;1000;1000
0.746593488;1000;1000
0.733817426;1000;1000
0.761263896;1000;1000
0.770554665;1000;1000
0.744591416;1000;1000
0.758744982;1000;1000
0.757421593;1000;1000
0.756698817;1000;1000
0.752073234;1000;1000
0.769212995;1000;1000
0.751935514;1000;1000
0.726038816;1000;1000
0.744546943;1000;1000
0.761277017;1000;1000
0.743999536;1000;1000
0.730925542;1000;1000
0.754377439;1000;1000
0.737099959;1000;1000
0.749270576;1000;1000
0.73810449;1000;1000
0.761025271;1000;1000
0.751922635;1000;1000
0.744627511;1000;1000
0.761767272;1000;1000
0.744489791;1000;1000
0.720357966;1000;1000
0.738866094;1000;1000
0.755596167;1000;1000
0.738318686;1000;1000
0.7323529;1000;1000
0.755804798;1000;1000
0.738527317;1000;1000
0.750697934;1000;1000
0.753197724;1000;1000
0.767956291;1000;1000
0.753349993;1000;1000
0.761284543;1000;1000
0.763867864;1000;1000
0.754742468;1000;1000
0.756724938;1000;1000
0.756424304;1000;1000
0.764600349;1000;1000
0.76397176;1000;1000
0.744936446;1000;1000
0.762076206;1000;1000
0.744798725;1000;1000
0.720666901;1000;1000
0.739175028;1000;1000
0.755905101;1000;1000
0.73862762;1000;1000
0.732661834;1000;1000
0.756113732;1000;1000
0.738836251;1000;1000
0.751006868;1000;1000
0.755390956;1000;1000
0.768265225;1000;1000
0.755998411;1000;1000
0.761593478;1000;1000
0.764176799;1000;1000
0.755051403;1000;1000
0.757033872;1000;1000
0.756733239;1000;1000
0.764909284;1000;1000
0.764280695;1000;1000
0.761809869;1000;1000
0.764393191;1000;1000
0.756048452;1000;1000
0.758030921;1000;1000
0.759704247;1000;1000
0.767880292;1000;1000
0.772757964;1000;1000
0.765183993;1000;1000
0.758641918;1000;1000
0.769402022;1000;1000
0.763876891;1000;1000
0.761269817;1000;1000
0.758377933;1000;1000
0.759805291;1000;1000
0.760114225;1000;1000
